1965-02,12
1965-03,0
1965-04,0
1965-05,0
1965-06,0
1965-07,0
1965-08,0
1965-09,0
1965-10,0
1965-11,0
1965-12,0
1966-01,0
1966-02,0
1966-03,0
1966-04,0
1966-05,0
1966-06,0
1966-07,0
1966-08,0
1966-09,0
1966-10,0
1966-11,0
1966-12,0
1967-01,0
1967-02,5
1967-03,0
1967-04,0
1967-05,0
1967-06,0
1967-07,0
1967-08,0
1967-09,0
1967-10,0
1967-11,0
1967-12,0
1968-01,0
1968-02,0
1968-03,0
1968-04,0
1968-05,0
1968-06,0
1968-07,0
1968-08,0
1968-09,0
1968-10,0
1968-11,0
1968-12,0
1969-01,0
1969-02,0
1969-03,0
1969-04,0
1969-05,0
1969-06,0
1969-07,0
1969-08,0
1969-09,0
1969-10,0
1969-11,0
1969-12,0
1970-01,0
1970-02,0
1970-03,0
1970-04,0
1970-05,0
1970-06,0
1970-07,2
1970-08,4
1970-09,0
1970-10,0
1970-11,0
1970-12,2
1971-01,2
1971-02,18
1971-03,48
1971-04,7
1971-05,33
1971-06,7
1971-07,65
1971-08,519
1971-09,127
1971-10,75
1971-11,86
1971-12,40
1972-01,55
1972-02,131
1972-03,190
1972-04,15
1972-05,17
1972-06,70
1972-07,82
1972-08,110
1972-09,68
1972-10,19
1972-11,21
1972-12,63
1973-01,36
1973-02,5
1973-03,11
1973-04,41
1973-05,2
1973-06,5
1973-07,1
1973-08,0
1973-09,0
1973-10,0
1973-11,13
